Institution Address,Latitude,Longitude
18 Summerland Terr,43.6436931,-79.532254
2109 Finch Ave,43.7797735,-79.4155289
225 Lawrence Ave W,43.7056316,-79.490679
2223 Kipling Ave,43.7404602,-79.5806935
2701 St.Clair Ave E,43.7053205,-79.3120308
43 Wellesley St,43.665097,-79.3822927
1 Northwest Ave,,
102 Craigee Dr,,
65 Livingston Road,43.7459748,-79.1978596
9 Neilson Dr,43.6298577,-79.5642667
3276 St. Clair Ave W,43.6831909,-79.4176911
3560 Bathurst,43.7302646,-79.4340919
2109 Finch Avenue W,43.7473209,-79.564066
119 Isabella St,43.6679483,-79.3838372
2701 St. Clair Ave,43.7053205,-79.3120308
5935 Lawson Rd,43.78598,-79.1576386
